iter	Passed	Remaining
252	619	1828
253	621	1824
254	623	1820
255	625	1816
256	627	1812
257	629	1809
258	631	1805
259	633	1802
260	635	1798
261	637	1795
262	639	1791
263	641	1787
264	643	1784
265	646	1783
266	648	1779
267	649	1775
268	651	1771
269	653	1768
270	655	1764
271	658	1761
272	660	1757
273	662	1754
274	663	1749
275	665	1746
276	667	1742
277	669	1739
278	671	1735
279	673	1732
280	675	1728
281	677	1724
282	679	1721
283	681	1717
284	683	1714
285	685	1710
286	687	1706
287	688	1702
288	690	1698
289	692	1695
290	694	1691
291	696	1688
292	698	1685
293	700	1682
294	703	1680
295	705	1676
296	706	1672
297	708	1669
298	710	1665
299	712	1662
300	714	1659
301	716	1656
302	718	1652
303	720	1649
304	722	1645
305	724	1643
306	726	1640
307	728	1637
308	730	1633
309	732	1630
310	734	1626
311	736	1624
312	738	1620
313	740	1617
314	742	1614
315	744	1611
316	746	1607
317	748	1606
318	751	1603
319	753	1600
320	755	1597
321	756	1593
322	759	1591
323	760	1587
324	762	1584
325	764	1581
326	766	1577
327	768	1574
328	770	1571
329	772	1567
330	774	1565
331	776	1563
332	778	1560
333	780	1556
334	782	1553
335	784	1550
336	786	1547
337	788	1544
338	790	1540
339	791	1537
340	793	1534
341	795	1531
342	797	1527
343	799	1524
344	801	1521
345	803	1518
346	805	1515
347	807	1512
348	809	1509
349	811	1506
350	812	1503
351	814	1500
352	816	1497
353	818	1494
354	820	1491
355	822	1488
356	824	1484
357	826	1481
358	827	1478
359	830	1476
360	832	1473
361	834	1470
362	836	1468
363	838	1464
364	840	1461
365	842	1459
366	844	1457
367	846	1454
368	848	1451
369	850	1448
370	852	1445
371	854	1442
372	856	1439
373	858	1436
374	859	1433
375	861	1429
376	863	1426
377	865	1424
378	867	1420
379	870	1420
380	874	1420
381	877	1418
382	879	1416
383	881	1414
384	883	1411
385	885	1408
386	887	1405
387	889	1402
388	891	1399
389	892	1396
390	894	1393
391	897	1391
392	899	1388
393	901	1386
394	903	1383
395	905	1381
396	907	1378
397	909	1375
398	911	1372
399	913	1370
400	915	1367
401	917	1364
402	919	1362
403	921	1359
404	923	1356
405	926	1355
406	928	1352
407	930	1350
408	932	1347
409	934	1344
410	936	1342
411	938	1339
412	940	1336
413	942	1333
414	944	1330
415	946	1328
416	947	1325
417	949	1322
418	952	1320
419	954	1317
420	955	1314
421	957	1311
422	959	1308
423	961	1305
424	963	1304
425	965	1301
426	967	1298
427	969	1295
428	971	1292
429	973	1289
430	975	1287
431	977	1284
432	979	1282
433	981	1279
434	982	1276
435	984	1274
436	986	1271
437	988	1268
438	990	1265
439	992	1262
440	994	1260
441	995	1257
442	997	1254
443	999	1252
444	1002	1249
445	1004	1247
446	1007	1246
447	1011	1245
448	1013	1243
449	1015	1240
450	1016	1237
451	1019	1236
452	1021	1233
453	1023	1230
